"Tm","WinP","Salary","Year","log.Salary"
"COL",0.451,71541334,2001,18.0857859385321
"DET",0.407,53416167,2001,17.793624010919
"FLA",0.469,35762500,2001,17.3924104163405
"HOU",0.574,60612667,2001,17.9200144555992
"KCR",0.401,35422500,2001,17.3828577694205
"LAD",0.531,109105953,2001,18.5078300139343
"MIL",0.42,43886833,2001,17.597124901394
"MIN",0.525,24130000,2001,16.9989664376012
"MON",0.42,35159500,2001,17.3754054099748
"NYM",0.506,93174428,2001,18.349983864325
"NYY",0.594,112787143,2001,18.5410129100355
"OAK",0.63,33810750,2001,17.3362893572242
"PHI",0.531,41663833,2001,17.5451439962858
"PIT",0.383,57760833,2001,17.87182147419
"SDP",0.488,39182833,2001,17.4837492751663
"SEA",0.716,74720834,2001,18.1292695134928
"SFG",0.556,63280167,2001,17.9630825204847
"STL",0.574,79373333,2001,18.1896730133818
"TBD",0.383,56980000,2001,17.858210887034
"TEX",0.451,88633500,2001,18.3000204479495
"TOR",0.494,76895999,2001,18.1579644045138
"ANA",0.611,61721667,2002,17.9381455941677
"ARI",0.605,102819999,2002,18.4484904348659
"ATL",0.631,93470367,2002,18.3531550135446
"BAL",0.414,64493487,2002,17.9820747999233
"BOS",0.574,108366060,2002,18.5010254983129
"CHC",0.414,75690833,2002,18.1421676146416
"CHW",0.5,57052833,2002,17.859488291234
"CIN",0.481,45050390,2002,17.6232921990289
"CLE",0.457,78909449,2002,18.1838115378344
"COL",0.451,56851043,2002,17.8559451245185
"DET",0.342,55048000,2002,17.8237160898645
"FLA",0.488,41979917,2002,17.5527018952228
"HOU",0.518,63448417,2002,17.9657378030349
"KCR",0.383,47257000,2002,17.6711113490793
"LAD",0.568,94850953,2002,18.3678173017382
"MIL",0.346,50287833,2002,17.7332737171422
"MIN",0.584,40425000,2002,17.5149589634274
"MON",0.512,38670500,2002,17.4705875934197
"NYM",0.466,94633593,2002,18.3655230766952
"NYY",0.64,125928583,2002,18.6512255026357
"OAK",0.636,40004167,2002,17.5044941816524
"PHI",0.497,57954999,2002,17.8751773880502
"PIT",0.447,42323599,2002,17.5608553844315
"SDP",0.407,41425000,2002,17.5393951212769
"SEA",0.574,80282668,2002,18.2010643150223
"SFG",0.59,78299835,2002,18.1760560536791
"STL",0.599,74660875,2002,18.1284667511784
"TBD",0.342,34380000,2002,17.352985557919
"TEX",0.444,105726122,2002,18.4763625537044
"TOR",0.481,76864333,2002,18.1575525167396
"ANA",0.475,79031667,2003,18.1853591782144
"ARI",0.518,80657000,2003,18.2057161535614
"ATL",0.624,106243667,2003,18.4812457592865
"BAL",0.438,73877500,2003,18.1179188740655
"BOS",0.586,99946500,2003,18.4201456007888
"CHC",0.543,79868333,2003,18.1958899992597
"CHW",0.531,51010000,2003,17.7475322498991
"CIN",0.426,59355667,2003,17.8990581588761
"CLE",0.42,48584834,2003,17.6988219825574
